player,pos,team,rank,adp
Kevin Thomas,QB,CIN,1,1
Brandon Williams,QB,DEN,2,2.8
Adam Lee,QB,BUF,3,1
David Miller,QB,LAC,4,5.0
Josh Davis,QB,GB,5,3.8
David Hernandez,QB,SF,6,4.5
Aaron Taylor,QB,PIT,7,6.5
Adam Jones,QB,ARI,8,9.8
Brandon Martinez,QB,NYJ,9,10.9
Trevor Martin,QB,DEN,10,7.2
Sam Garcia,QB,MIA,11,10.4
Justin Taylor,QB,LAR,12,9.6
Trevor Williams,QB,PIT,13,13.0
Devin Jackson,QB,JAX,14,15.8
Justin Anderson,QB,KC,15,14.6
Michael Garcia,QB,CHI,16,14.4
Ryan Taylor,QB,SF,17,15.1
Chris Williams,QB,DET,18,17.0
Chris Moore,QB,NO,19,21.9
Josh Hernandez,QB,CIN,20,22.7
John Davis,QB,PHI,21,18.9
Aaron Martinez,QB,HOU,22,21.0
Adam Taylor,QB,LAR,23,24.8
Aaron Garcia,QB,DAL,24,23.9
Michael Davis,RB,BUF,25,26.9
Ryan Jackson,RB,WAS,26,23.3
Eric Williams,RB,DET,27,27.2
Michael Taylor,RB,LAR,28,27.2
Tyler Thomas,RB,IND,29,27.2
Sam Taylor,RB,WAS,30,29.1
Kevin Hernandez,RB,DAL,31,31.7
Chris Rodriguez,RB,MIN,32,29.4
Justin Smith,RB,DAL,33,34.1
Trevor Lopez,RB,SEA,34,35.2
Tyler Miller,RB,MIN,35,35.7
David Jackson,RB,ATL,36,37.7
Marcus Martin,RB,KC,37,38.7
Sam Rodriguez,RB,LV,38,35.5
Chris Jackson,RB,TB,39,40.5
Trevor Anderson,RB,DEN,40,41.6
Nick Hernandez,RB,MIA,41,38.7
Josh Smith,RB,IND,42,43.5
Kevin Taylor,RB,NO,43,40.5
Michael Thomas,RB,BUF,44,46.9
Justin Wilson,RB,CIN,45,46.2
Josh Jones,RB,BAL,46,47.3
Trevor Jones,RB,NYG,47,48.6
Jordan Anderson,RB,NYJ,48,45.9
Eric Rodriguez,RB,TEN,49,49.0
John Jones,RB,BAL,50,47.6
Aaron Jackson,RB,CAR,51,49.8
Marcus Taylor,RB,CHI,52,54.7
Trevor Miller,RB,NO,53,50.8
Justin Martinez,RB,DEN,54,56.7
Aaron Anderson,RB,WAS,55,53.5
Michael Rodriguez,RB,DEN,56,55.9
Sam Jones,RB,GB,57,57.2
Sam Wilson,RB,PIT,58,55.6
Trevor Moore,RB,BUF,59,60.0
Chris Lopez,RB,CAR,60,59.4
Sam Moore,RB,CLE,61,61.9
Justin Jackson,RB,ATL,62,61.2
James Rodriguez,RB,DEN,63,63.3
Devin Brown,RB,CAR,64,66.4
Brandon Moore,RB,BUF,65,62.0
Justin Jones,RB,PIT,66,67.8
Aaron Martin,RB,LV,67,66.5
James Taylor,RB,BUF,68,67.3
